--- input01.txt ---
Cone = 837.7580409572781
Trapeze = 82.5
TriangularPyramid = 636.5286717815623
Rectangle = 55.0
Ball = 57905.83579096706
Parallelogram = 525.0
Trapeze = 126.0
QuadrangularPyramid = 1848.0
Triangle = 76.5061272056036
Cone = 2120.5750411731105
Circle = 12.566370614359172
TriangularPrism = 0.0
Parallelogram = 0.0
Trapeze = 136.5
Circle = 201.06192982974676
Circle = 804.247719318987
Cone = 84.82300164692441
TriangularPyramid = 163.6788013152589
Trapeze = 190.0
TriangularPrism = 0.0
Rectangle = 264.0
Cone = 402.1238596594935
Parallelogram = 308.0
Trapeze = 27.5
Parallelogram = 90.0
Cone = 2948.908304169619
RectangularParallelepiped = 720.0
Triangle = 0
Rectangle = 7.0
Rectangle = 234.0
Trapeze = 37.5
Parallelogram = 20.0
TriangularPrism = 144.84884362672696
Circle = 380.132711084365
RectangularParallelepiped = 480.0
Ball = 0.0
Triangle = 83.0267276243018
Cone = 3232.698840543897
Rectangle = 25.0
RectangularParallelepiped = 115.0
TriangularPrism = 0.0
Ball = 2144.660584850632
TriangularPrism = 0.0
QuadrangularPyramid = 1633.3333333333333
Ball = 1436.7550402417319
QuadrangularPyramid = 2520.0
Rectangle = 54.0
TriangularPyramid = 203.22729475474824
Ball = 38792.38608652676
Rectangle = 75.0
Trapeze = 6.0
TriangularPyramid = 2074.8525299002176
RectangularParallelepiped = 780.0
Circle = 1520.53084433746
TriangularPrism = 119.05880899790658
Cone = 359.188760060433
RectangularParallelepiped = 0.0
Trapeze = 87.0
Circle = 1385.4423602330987
Triangle = 0
Trapeze = 148.5
QuadrangularPyramid = 0.0
Trapeze = 150.0
Triangle = 63.2771680782255
Cone = 760.2654221687299
Circle = 1134.1149479459152
Ball = 9202.7720799157
TriangularPyramid = 2.8867513459481287
Rectangle = 65.0
Triangle = 0
Trapeze = 243.0
Ball = 65449.84694978735
TriangularPrism = 1278.4975557270338
Trapeze = 87.5
RectangularParallelepiped = 3360.0
TriangularPyramid = 55.42562584220407
Ball = 2144.660584850632
TriangularPyramid = 97.57219549304673
TriangularPrism = 0.0
Ball = 65449.84694978735
Rectangle = 130.0
QuadrangularPyramid = 2683.333333333333
TriangularPyramid = 628.7344431475024
Cone = 11079.350091660002
Trapeze = 188.5
Trapeze = 88.0
TriangularPrism = 317.49015732775086
RectangularParallelepiped = 2394.0
Circle = 1661.9025137490005
Circle = 615.7521601035994
Circle = 452.3893421169302
Ball = 5575.279762570686
Parallelogram = 225.0
QuadrangularPyramid = 2080.0
RectangularParallelepiped = 2376.0
Circle = 0.0
TriangularPrism = 1385.8831119542513
Triangle = 96.51424765287247
TriangularPrism = 0.0
TriangularPrism = 1424.9350643099494

--- input02.txt ---
Cone = 2261.946710584651
Ball = 38792.38608652676
TriangularPrism = 1138.4199576606165
Rectangle = 0.0
Parallelogram = 200.0
RectangularParallelepiped = 480.0
TriangularPrism = 0.0
Rectangle = 100.0
TriangularPrism = 0.0
Rectangle = 102.0
Circle = 452.3893421169302
Triangle = 0
RectangularParallelepiped = 2717.0
RectangularParallelepiped = 480.0
Cone = 5079.955320854695
Circle = 452.3893421169302
Triangle = 0
Triangle = 0
Parallelogram = 54.0
Trapeze = 45.5
Trapeze = 126.5
TriangularPrism = 0.0
TriangularPyramid = 381.9172030689374
Circle = 380.132711084365
Trapeze = 78.0
TriangularPrism = 0.0
RectangularParallelepiped = 0.0
